State,Rank,Year,Age-Adjusted Rate,Deaths,Chart
US Average,,2007,11.27,,states
US Average,,2008,11.6,,states
US Average,,2009,11.75,,states
US Average,,2010,12.08,,states
US Average,,2011,12.32,,states
US Average,,2012,12.54,,states
US Average,,2013,12.57,,states
US Average,,2014,12.93,,states
US Average,,2015,13.26,,states
US Average,,2016,13.42,,states
Alabama,,2007,12.39,,states
Alabama,,2008,12.6,,states
Alabama,,2009,13.74,,states
Alabama,,2010,13.95,,states
Alabama,,2011,13.18,,states
Alabama,,2012,14.65,,states
Alabama,,2013,14.35,,states
Alabama,,2014,14.46,,states
Alabama,,2015,14.87,,states
Alabama,24,2016,15.61,,states
Alaska,,2007,22.46,,states
Alaska,,2008,24.33,,states
Alaska,,2009,19.64,,states
Alaska,,2010,22.93,,states
Alaska,,2011,19.37,,states
Alaska,,2012,22.99,,states
Alaska,,2013,23.07,,states
Alaska,,2014,21.97,,states
Alaska,,2015,26.83,,states
Alaska,2,2016,25.37,,states
Arizona,,2007,16.52,,states
Arizona,,2008,15.41,,states
Arizona,,2009,16.73,,states
Arizona,,2010,16.99,,states
Arizona,,2011,17.86,,states
Arizona,,2012,17.28,,states
Arizona,,2013,17.39,,states
Arizona,,2014,18,,states
Arizona,,2015,18.19,,states
Arizona,17,2016,17.59,,states
Arkansas,,2007,14.2,,states
Arkansas,,2008,15.51,,states
Arkansas,,2009,14.38,,states
Arkansas,,2010,15.45,,states
Arkansas,,2011,15.96,,states
Arkansas,,2012,16.34,,states
Arkansas,,2013,17.25,,states
Arkansas,,2014,17.25,,states
Arkansas,,2015,19.11,,states
Arkansas,14,2016,18.18,,states
California,,2007,9.92,,states
California,,2008,10.27,,states
California,,2009,10.2,,states
California,,2010,10.31,,states
California,,2011,10.37,,states
California,,2012,9.99,,states
California,,2013,10.16,,states
California,,2014,10.46,,states
California,,2015,10.24,,states
California,45,2016,10.46,,states
Colorado,,2007,16.57,,states
Colorado,,2008,16.15,,states
Colorado,,2009,18.73,,states
Colorado,,2010,16.69,,states
Colorado,,2011,17.45,,states
Colorado,,2012,19.55,,states
Colorado,,2013,18.52,,states
Colorado,,2014,19.78,,states
Colorado,,2015,19.46,,states
Colorado,10,2016,20.47,,states
Connecticut,,2007,7.27,,states
Connecticut,,2008,8.48,,states
Connecticut,,2009,8.54,,states
Connecticut,,2010,9.33,,states
Connecticut,,2011,9.83,,states
Connecticut,,2012,9.89,,states
Connecticut,,2013,8.67,,states
Connecticut,,2014,9.71,,states
Connecticut,,2015,9.81,,states
Connecticut,46,2016,10.01,,states
Delaware,,2007,10.66,,states
Delaware,,2008,11.89,,states
Delaware,,2009,11.7,,states
Delaware,,2010,11.44,,states
Delaware,,2011,10.9,,states
Delaware,,2012,13.19,,states
Delaware,,2013,12.35,,states
Delaware,,2014,13.2,,states
Delaware,,2015,12.48,,states
Delaware,42,2016,11.49,,states
District of Columbia,,2007,6.03,,states
District of Columbia,,2008,7.48,,states
District of Columbia,,2009,4.58,,states
District of Columbia,,2010,6.69,,states
District of Columbia,,2011,5.62,,states
District of Columbia,,2012,5.66,,states
District of Columbia,,2013,5.77,,states
District of Columbia,,2014,7.72,,states
District of Columbia,,2015,4.92,,states
District of Columbia,51,2016,5.09,,states
Florida,,2007,13.21,,states
Florida,,2008,13.84,,states
Florida,,2009,14.38,,states
Florida,,2010,13.64,,states
Florida,,2011,13.88,,states
Florida,,2012,14.32,,states
Florida,,2013,13.73,,states
Florida,,2014,13.84,,states
Florida,,2015,14.38,,states
Florida,32,2016,13.92,,states
Georgia,,2007,10.87,,states
Georgia,,2008,10.39,,states
Georgia,,2009,11.87,,states
Georgia,,2010,11.67,,states
Georgia,,2011,11.7,,states
Georgia,,2012,11.65,,states
Georgia,,2013,11.94,,states
Georgia,,2014,12.65,,states
Georgia,,2015,12.66,,states
Georgia,34,2016,13.27,,states
Hawaii,,2007,9.48,,states
Hawaii,,2008,9.78,,states
Hawaii,,2009,12.43,,states
Hawaii,,2010,15.02,,states
Hawaii,,2011,12.58,,states
Hawaii,,2012,12.97,,states
Hawaii,,2013,11.58,,states
Hawaii,,2014,13.64,,states
Hawaii,,2015,13.49,,states
Hawaii,41,2016,12.00,,states
Idaho,,2007,15.06,,states
Idaho,,2008,16.6,,states
Idaho,,2009,20.3,,states
Idaho,,2010,18.77,,states
Idaho,,2011,18.2,,states
Idaho,,2012,19.08,,states
Idaho,,2013,19.23,,states
Idaho,,2014,20.07,,states
Idaho,,2015,22.19,,states
Idaho,7,2016,21.32,,states
Illinois,,2007,8.63,,states
Illinois,,2008,9.26,,states
Illinois,,2009,9.07,,states
Illinois,,2010,8.96,,states
Illinois,,2011,9.26,,states
Illinois,,2012,9.74,,states
Illinois,,2013,9.92,,states
Illinois,,2014,10.43,,states
Illinois,,2015,10.28,,states
Illinois,44,2016,10.70,,states
Indiana,,2007,12.33,,states
Indiana,,2008,12.6,,states
Indiana,,2009,12.76,,states
Indiana,,2010,13.1,,states
Indiana,,2011,13.55,,states
Indiana,,2012,14.3,,states
Indiana,,2013,14.26,,states
Indiana,,2014,14.25,,states
Indiana,,2015,14.40,,states
Indiana,25,2016,15.36,,states
Iowa,,2007,10.64,,states
Iowa,,2008,12.62,,states
